Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V)
1;48.600000;27.864000;14.800000;26.864000;13.342235;2.7803111;12.736922;6.3124670;4.3923253;20.244467;6;4;0.5000000;1.2810124;40.082719;47.200738;0.3220736;10.070394;19.798990;0.1706063;17113.235;1426.1029;305.74251;336.85491;31.112401;90.763857;1.2316653;12.728196;10.070335;19.799075;0.0164802;18223.320;1518.6100;31.449922;49.870827;18.420905;63.062764;0.8008899;1.3391328;1.4548944;19.798653;330.00000;45.615913;52.956688;7.3407759;86.138152;0.8974902;7.4628824;6.3522884;4.8446285
2;54.600000;23.104000;32.800001;22.104000;9.3411979;3.0808296;10.281793;11.833245;2.3795341;23.385245;18;5;0.5000000;1.4332604;49.664102;55.939795;0.7217104;12.587993;19.798990;0.9904858;2684.3461;223.69551;278.42958;350.02104;71.591466;79.546525;22.622059;35.852399;12.589184;19.799619;0.1045556;3576.9857;298.08214;39.164557;44.247593;5.0830359;88.512288;3.4010144;3.9481210;1.2894066;19.797457;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
3;59.400000;24.056000;29.200001;23.056000;11.940368;2.1212445;10.997689;10.249868;2.5693012;22.277868;12;3;0.5000000;1.1432198;24.675780;29.187993;0.6747987;7.5527958;19.798990;0.4128522;4913.5479;409.46232;212.43125;243.95844;31.527187;87.076820;4.9540884;19.646925;7.5581356;19.787270;0.0405253;5737.1407;478.09506;24.347290;31.209796;6.8625056;78.011694;0.8155552;2.5276700;0.9110904;19.797785;330.00000;45.616170;51.369629;5.7534595;88.799881;1.4939263;6.0509537;2.1095487;14.120400
4;54.720000;32.052800;22.960001;31.052800;16.981004;2.4569264;14.912168;7.7971238;2.1238131;23.823524;18;3;0.5000000;1.1432198;42.652370;48.765409;0.5355536;7.5527958;19.798990;0.5381888;3806.5372;317.21144;214.53262;255.61059;41.077975;83.929471;20.680407;9.3068919;7.5534568;19.799462;0.0532904;4325.1237;360.42698;24.136611;32.878660;8.7420487;73.411177;2.4023032;1.5208939;0.9538686;19.798526;330.00000;45.618449;54.696845;9.0783956;83.402341;5.1925240;1.8558298;1.7146790;18.349432
5;48.840000;21.961600;25.120000;20.961600;8.6227120;3.0320726;9.7227819;6.9729088;2.5573450;17.953709;14;3;0.5000000;1.1432198;57.017278;65.093053;0.4876188;7.5527958;19.798990;0.3809195;5161.0967;430.09139;205.87507;236.52841;30.653340;87.040314;2.9191189;24.082077;7.5540946;19.801007;0.0390938;6293.4336;524.45280;25.764670;29.891894;4.1272233;86.192834;0.5274173;3.1156958;0.8731207;19.797742;330.00000;45.616120;49.939102;4.3229821;91.343493;0.9460098;8.0269376;2.2304386;13.036435
6;59.760000;27.102400;29.680002;26.102400;11.859787;3.2495348;12.238816;8.1415037;4.8021381;21.692704;10;3;0.5000000;1.1432198;37.444871;43.926884;0.7498443;7.5527958;19.798990;0.4291272;4961.4144;413.45120;222.95651;249.49339;26.536873;89.363697;1.3329033;15.630444;7.5540988;19.800774;0.0433181;5615.5112;467.95927;25.473432;29.844513;4.3710815;85.353819;0.3265116;1.8558949;0.8709447;19.798545;330.00000;45.615984;49.686367;4.0703831;91.807847;0.4316661;4.4697593;2.0075495;14.323592
7;55.080000;35.099200;23.440001;34.099200;19.900424;2.0852168;16.528296;5.6887597;4.3566500;23.238360;16;3;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
8;55.224000;31.557760;17.632002;30.557760;15.867500;2.8368786;14.569660;7.8592662;3.9079240;23.638146;16;3;0.5000000;1.1432198;45.695338;52.294446;0.4608045;7.5527958;19.798990;0.4877786;4143.4715;345.28929;211.64874;243.51707;31.868332;86.913307;3.0293557;19.936580;7.5499464;19.809130;0.0472278;4911.1545;409.26287;24.289041;29.041417;4.7523761;83.635867;0.6193491;2.3311163;0.8477646;19.798358;330.00000;45.616053;50.493511;4.8774580;90.340426;0.9759046;5.1381240;1.7872740;16.332204
9;58.824000;38.221760;22.432001;37.221760;22.068606;2.1163255;18.081799;6.6371027;3.6549013;25.747983;16;4;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
10;55.464000;25.655360;27.952002;24.655360;11.147113;3.0890722;11.555412;9.7870234;3.3964820;22.614703;15;5;0.5000000;1.4332604;58.520111;65.920979;0.6836921;12.587993;19.798990;0.9273295;3119.3943;259.94953;302.92349;359.29265;56.369166;84.311072;6.0407843;33.688707;12.578247;19.817471;0.0922982;4277.6564;356.47136;41.345456;45.790225;4.4447692;90.293192;0.9067051;4.4826246;1.3377551;19.798618;330.00000;45.616031;50.011968;4.3959368;91.210230;1.0601078;5.2331697;1.5687227;18.412485
